"iata","name","city","country","latitude","longitude","source_type","scheduled_service","proposed_demand_index","proposed_airport_tax","review_note"
"PYK","Payam International Airport","Karaj","Iran","35.7761","50.826698","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KER","Ayatollah Hashemi Rafsanjani International Airport","Kerman","Iran","30.271276","56.949692","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KIH","Kish International Airport","Kish Island","Iran","26.525427","53.980462","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MHD","Mashhad International Airport","Mashhad","Iran","36.234821","59.642949","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GSM","Qeshm International Airport","Qeshm(Dayrestan)","Iran","26.754639","55.902353","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SYZ","Shiraz Shahid Dastghaib International Airport","Shiraz","Iran","29.5392","52.589802","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TBZ","Tabriz International Airport","Tabriz","Iran","38.1339","46.235001","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IKA","Imam Khomeini International Airport","Tehran","Iran","35.416099548339844","51.152198791503906","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"THR","Mehrabad International Airport","Tehran","Iran","35.689175","51.314392","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ZAH","Zahedan International Airport","Zahedan","Iran","29.4757","60.9062","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"EBL","Erbil International Airport","Arbil","Iraq","36.236047","43.946615","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BGW","Baghdad International Airport / New Al Muthana Air Base","Baghdad","Iraq","33.262501","44.2346","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BSR","Basra International Airport","Basra","Iraq","30.549101","47.662102","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KIK","Kirkuk International Airport","Kirkuk","Iraq","35.469501","44.3489","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NJF","Al Najaf International Airport","Najaf","Iraq","31.991116","44.405019","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NOC","Ireland West Airport Knock","Charlestown","Ireland","53.910439","-8.817002","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ORK","Cork International Airport","Cork","Ireland","51.841301","-8.49111","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SNN","Shannon Airport","Shannon","Ireland","52.702","-8.92482","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IOM","Isle of Man Airport","Castletown","Isle of Man","54.083081","-4.623871","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ETM","Ramon International Airport","Eilat","Israel","29.727009","35.014116","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TLV","Ben Gurion International Airport","Tel Aviv","Israel","32.011398","34.8867","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BRI","Bari Karol Wojtyła International Airport","Bari","Italy","41.138901","16.760599","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BLQ","Bologna Guglielmo Marconi Airport","Bologna","Italy","44.5354","11.2887","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BDS","Brindisi Airport","Brindisi","Italy","40.6576","17.947001","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CAG","Cagliari Elmas Airport","Cagliari","Italy","39.251499","9.05428","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VRN","Verona Villafranca Valerio Catullo Airport","Caselle (VR)","Italy","45.394955","10.887303","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TRN","Turin Airport","Caselle Torinese (TO)","Italy","45.200802","7.64963","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CTA","Catania-Fontanarossa Airport","Catania","Italy","37.466801","15.0664","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FLR","Florence Airport, Peretola","Firenze (FI)","Italy","43.808558","11.202822","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GOA","Genoa Cristoforo Colombo Airport","Genova (GE)","Italy","44.412039","8.840732","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SUF","Lamezia Terme Sant'Eufemia International Airport","Lamezia Terme (CZ)","Italy","38.906214","16.246007","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NAP","Naples International Airport","Napoli","Italy","40.886002","14.2908","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"OLB","Olbia Costa Smeralda Airport","Olbia (SS)","Italy","40.898953","9.518457","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BGY","Il Caravaggio International Airport","Orio al Serio (BG)","Italy","45.669362","9.708851","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PMO","Falcone–Borsellino Airport","Palermo","Italy","38.175999","13.091","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PEG","Perugia San Francesco d'Assisi – Umbria International Airport","Perugia (PG)","Italy","43.095901","12.5132","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PSR","Abruzzo Airport","Pescara","Italy","42.431079","14.182981","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PSA","Pisa International Airport","Pisa (PI)","Italy","43.683899","10.3927","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"RMI","Federico Fellini International Airport","Rimini (RN)","Italy","44.020024","12.612198","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CIA","Ciampino–G. B. Pastine International Airport","Rome","Italy","41.798769","12.595331","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TRS","Trieste Airport","Ronchi dei Legionari/Trieste","Italy","45.827862","13.466672","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LIN","Milano Linate Airport","Segrate (MI)","Italy","45.445099","9.27674","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TSF","Treviso Airport","Treviso (TV)","Italy","45.648399","12.1944","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VCE","Venice Marco Polo Airport","Venezia (VE)","Italy","45.505299","12.3519","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KIN","Norman Manley International Airport","Kingston","Jamaica","17.935699462890625","-76.7874984741211","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MBJ","Sangster International Airport","Montego Bay","Jamaica","18.50342","-77.91323","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AOJ","Aomori Airport","Aomori","Japan","40.733777","140.689477","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HKD","Hakodate Airport","Hakodate","Japan","41.77","140.822006","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KKJ","Kitakyushu Airport","Kitakyushu","Japan","33.845901","131.035004","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"UKB","Kobe Airport","Kobe","Japan","34.632801","135.223999","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FSZ","Mount Fuji Shizuoka Airport","Makinohara / Shimada","Japan","34.795022","138.190976","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KMI","Miyazaki Airport","Miyazaki","Japan","31.877199","131.449005","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NGS","Nagasaki Airport","Nagasaki","Japan","32.916901","129.914001","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KCZ","Kochi Ryoma Airport","Nankoku","Japan","33.545217","133.670166","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KIJ","Niigata Airport","Niigata","Japan","37.954166","139.112189","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"OKJ","Okayama Momotaro Airport","Okayama","Japan","34.756901","133.854996","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IBR","Ibaraki Airport","Omitama","Japan","36.181456","140.414434","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HSG","Kyushu Saga International Airport","Saga","Japan","33.1497","130.302002","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TAK","Takamatsu Airport","Takamatsu","Japan","34.214963","134.015454","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TKS","Tokushima Awaodori Airport / JMSDF Tokushima Air Base","Tokushima","Japan","34.132559","134.607816","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ADJ","Marka International (Amman Civil) Airport","Amman","Jordan","31.9727","35.9916","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AQJ","King Hussein International Airport","Aqaba","Jordan","29.611601","35.018101","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SCO","Aktau International Airport","Aktau","Kazakhstan","43.860093","51.09086","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AKX","Aktobe International Airport","Aktobe","Kazakhstan","50.248116","57.204144","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ALA","Almaty International Airport","Almaty","Kazakhstan","43.354267","77.042828","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NQZ","Nursultan Nazarbayev International Airport","Astana","Kazakhstan","51.027035","71.467094","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GUW","Atyrau International Airport","Atyrau","Kazakhstan","47.121318","51.820343","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BXY","Baikonur Krayniy International Airport","Baikonur","Kazakhstan","45.621994","63.210773","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KGF","Sary-Arka Airport","Karaganda","Kazakhstan","49.670799","73.334396","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KOV","Kokshetau International Airport","Kokshetau","Kazakhstan","53.329102","69.594597","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KSN","Kostanay International Airport","Kostanay","Kazakhstan","53.206902","63.550301","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KZO","Korkyt Ata International Airport","Kyzylorda","Kazakhstan","44.706902","65.592499","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PWQ","Pavlodar International Airport","Pavlodar","Kazakhstan","52.194982","77.073088","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PPK","Petropavl International Airport","Petropavl","Kazakhstan","54.775622","69.187415","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PLX","Semei International Airport","Semey","Kazakhstan","50.351295","80.234398","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CIT","Shymkent International Airport","Shymkent","Kazakhstan","42.365021","69.47564","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DMB","Taraz International Airport","Taraz","Kazakhstan","42.8536","71.303596","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HSA","Hazrat Sultan International Airport","Turkıstan","Kazakhstan","43.311087","68.550352","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"URA","Manshuk Mametova International Airport","Uralsk","Kazakhstan","51.151976","51.543652","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"UKK","Oskemen International Airport","Ust-Kamenogorsk (Oskemen)","Kazakhstan","50.035033","82.496057","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DZN","Zhezkazgan National Airport","Zhezkazgan","Kazakhstan","47.708953","67.738094","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"EDL","Eldoret International Airport","Eldoret","Kenya","0.404458","35.238899","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KIS","Kisumu International Airport","Kisumu","Kenya","-0.086139","34.728901","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MBA","Moi International Airport","Mombasa","Kenya","-4.03483","39.5942","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CXI","Cassidy International Airport","Kiritimati","Kiribati","1.986278","-157.350011","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TRW","Bonriki International Airport","South Tarawa","Kiribati","1.38164","173.147003","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PRN","Priština Adem Jashari International Airport","Prishtina","Kosovo","42.5728","21.035801","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BSZ","Manas International Airport","Bishkek","Kyrgyzstan","43.061298","74.4776","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"OSS","Osh International Airport","Osh","Kyrgyzstan","40.609001","72.793297","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IKU","Issyk-Kul International Airport","Tamchy","Kyrgyzstan","42.585584","76.701181","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"RIX","Riga International Airport","Riga","Latvia","56.920752","23.970711","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MSU","Moshoeshoe I International Airport","Maseru(Mazenod)","Lesotho","-29.456277","27.554456","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ROB","Roberts International Airport","Monrovia","Liberia","6.23379","-10.3623","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LAQ","Al Abraq International Airport","Al Albraq","Libya","32.789036","21.954864","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BEN","Benina International Airport","Benina","Libya","32.096802","20.269501","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MJI","Mitiga International Airport","Tripoli","Libya","32.89177","13.287878","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KUN","Kaunas International Airport","Kaunas","Lithuania","54.963965","24.08582","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PLQ","Palanga International Airport","Palanga","Lithuania","55.973202","21.093901","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VNO","Vilnius International Airport","Vilnius","Lithuania","54.634102","25.285801","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LUX","Luxembourg-Findel International Airport","Luxembourg","Luxembourg","49.626845","6.212134","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TNR","Ivato International Airport","Antananarivo","Madagascar","-18.7969","47.478802","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MJN","Amborovy Airport","Mahajanga","Madagascar","-15.666842","46.351233","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NOS","Nosy Be International Airport","Nosy Be","Madagascar","-13.3121","48.3148","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TMM","Toamasina Ambalamanasy Airport","Toamasina","Madagascar","-18.113537","49.392262","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BLZ","Chileka International Airport","Blantyre","Malawi","-15.677189","34.972319","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LLW","Kamuzu International Airport","Lumbadzi","Malawi","-13.7894","33.780998","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GAN","Gan International Airport","Gan","Maldives","-0.692975","73.152627","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HAQ","Hanimaadhoo International Airport","Haa Dhaalu Atoll","Maldives","6.743235","73.167072","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MLE","Velana International Airport","Malé","Maldives","4.19183","73.529099","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NMF","Maafaru International Airport","Noonu Atoll","Maldives","5.817407","73.468404","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BKO","Modibo Keita International Airport","Bamako","Mali","12.5335","-7.94994","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TOM","Tombouktou Airport","Timbuktu","Mali","16.730499","-3.00758","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MLA","Malta International Airport","Valletta","Malta","35.845932","14.491546","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MAJ","Marshall Islands International Airport","Majuro Atoll","Marshall Islands","7.06511","171.271656","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FDF","Martinique Aimé Césaire International Airport","Fort-de-France","Martinique","14.591","-61.003201","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NDB","Nouadhibou International Airport","Nouadhibou","Mauritania","20.932404","-17.030199","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NKC","Nouakchott–Oumtounsy International Airport","Nouakchott","Mauritania","18.31","-15.969722","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MRU","Sir Seewoosagur Ramgoolam International Airport","Plaine Magnien","Mauritius","-20.430201","57.683601","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DZA","Dzaoudzi Pamandzi International Airport","Dzaoudzi","Mayotte","-12.809319","45.281815","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ACA","General Juan N. Álvarez International Airport","Acapulco","Mexico","16.757126","-99.753113","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AGU","Aguascalientes International Airport","Aguascalientes","Mexico","21.699589","-102.318372","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CUU","General Roberto Fierro Villalobos International Airport","Chihuahua","Mexico","28.702649","-105.963764","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CJS","Abraham González International Airport","Ciudad Juárez","Mexico","31.636673","-106.428533","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CZM","Cozumel International Airport","Cozumel","Mexico","20.514922","-86.928538","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CUL","Bachigualato Federal International Airport","Culiacán","Mexico","24.76504","-107.475228","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GDL","Guadalajara International Airport","Guadalajara","Mexico","20.523342","-103.310108","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HMO","General Ignacio L. Pesqueira International Airport","Hermosillo","Mexico","29.092811","-111.053015","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HUX","Bahías de Huatulco International Airport","Huatulco","Mexico","15.775437","-96.260456","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ZIH","Ixtapa-Zihuatanejo International Airport","Ixtapa","Mexico","17.601771","-101.460629","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LTO","Loreto International Airport","Loreto","Mexico","25.989549","-111.348408","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MZT","General Rafael Buelna International Airport","Mazatlàn","Mexico","23.162823","-106.264517","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NLU","Felipe Ángeles International Airport","Mexico City","Mexico","19.743824","-99.01507","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MTY","Monterrey International Airport","Monterrey","Mexico","25.778521","-100.106989","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MLM","General Francisco J. Mujica International Airport","Morelia","Mexico","19.849899","-101.025002","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MID","Manuel Crescencio Rejón International Airport","Mérida","Mexico","20.930485","-89.645462","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"OAX","Xoxocotlán International Airport","Oaxaca","Mexico","16.998773","-96.726092","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PBC","Hermanos Serdán International Airport","Puebla","Mexico","19.158465","-98.371582","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PVR","Puerto Vallarta International Airport","Puerto Vallarta","Mexico","20.679913","-105.254391","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"QRO","Querétaro Intercontinental Airport","Querétaro","Mexico","20.618779","-100.186449","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SJD","Los Cabos International Airport","San José del Cabo","Mexico","23.151919","-109.720731","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BJX","Guanajuato International Airport","Silao","Mexico","20.992695","-101.480284","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TIJ","General Abelardo L. Rodriguez International Airport","Tijuana","Mexico","32.541043","-116.969976","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TLC","Adolfo López Mateos International Airport","Toluca","Mexico","19.3369","-99.56583","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TQO","Felipe Carrillo Puerto International Airport Tulum","Tulum","Mexico","20.172098","-87.660272","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VER","General Heriberto Jara International Airport","Veracruz","Mexico","19.139589","-96.188602","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VSA","Carlos Rovirosa Pérez International Airport","Villahermosa","Mexico","17.994283","-92.818199","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
