"iata","name","city","country","latitude","longitude","source_type","scheduled_service","proposed_demand_index","proposed_airport_tax","review_note"
"BIA","Bastia-Poretta International airport","Bastia","France","42.5527","9.48373","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BVA","Beauvais-Tillé airport","Beauvais","France","49.454399","2.11278","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BOD","Bordeaux–Mérignac Airport","Bordeaux","France","44.82865","-0.715356","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BES","Brest Bretagne airport","Brest","France","48.447899","-4.41854","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BSL","EuroAirport Basel–Mulhouse–Freiburg","Bâle / Mulhouse","France","47.60068","7.521117","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CFE","Clermont-Ferrand Auvergne airport","Clermont-Ferrand","France","45.786701","3.16917","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LYS","Lyon Saint-Exupéry Airport","Colombier-Saugnieu, Rhône","France","45.725996","5.090139","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FSC","Figari Sud-Corse Airport","Figari","France","41.50185","9.097092","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LIL","Lille Airport","Lesquin","France","50.566564","3.102429","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MRS","Marseille Provence Airport","Marignane, Bouches-du-Rhône","France","43.438088","5.2125","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MPL","Montpellier-Méditerranée Airport","Montpellier/Méditerranée","France","43.576199","3.96301","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NCE","Nice-Côte d'Azur Airport","Nice, Alpes-Maritimes","France","43.658401","7.21587","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LBG","Paris-Le Bourget International Airport","Paris","France","48.962276","2.436539","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SXB","Strasbourg Airport","Strasbourg","France","48.5383","7.62823","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TLS","Toulouse-Blagnac Airport","Toulouse/Blagnac","France","43.629101","1.36382","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CAY","Cayenne – Félix Eboué Airport","Matoury","French Guiana","4.819964","-52.361326","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MVB","M'Vengue El Hadj Omar Bongo Ondimba International Airport","Franceville","Gabon","-1.65616","13.438","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LBV","Libreville Leon M'ba International Airport","Libreville","Gabon","0.458951","9.41214","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"POG","Port Gentil International Airport","Port Gentil","Gabon","-0.711739","8.75438","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BJL","Banjul International Airport","Banjul (Yundum)","Gambia","13.338","-16.652201","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BUS","Alexander Kartveli Batumi International Airport","Batumi","Georgia","41.60939","41.600315","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KUT","David the Builder Kutaisi International Airport","Kopitnari","Georgia","42.177448","42.485353","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TBS","Tbilisi International Airport","Tbilisi","Georgia","41.669201","44.9547","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BER","Berlin Brandenburg Airport","Berlin","Germany","52.361738","13.502341","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BRE","Bremen Airport","Bremen","Germany","53.046786","8.78932","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PAD","Paderborn Lippstadt Airport","Büren","Germany","51.612527","8.617459","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KSF","Kassel Airport","Calden","Germany","51.418395","9.391638","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DTM","Dortmund Airport","Dortmund","Germany","51.518299","7.61224","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DRS","Dresden Airport","Dresden","Germany","51.134123","13.767831","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DUS","Düsseldorf Airport","Düsseldorf","Germany","51.289501","6.76678","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ERF","Erfurt-Weimar Airport","Erfurt","Germany","50.978281","10.960713","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HHN","Frankfurt-Hahn Airport","Frankfurt am Main (Lautzenhausen)","Germany","49.946353","7.261734","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FDH","Bodensee Airport Friedrichshafen","Friedrichshafen","Germany","47.671299","9.51149","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
