"iata","name","city","country","latitude","longitude","source_type","scheduled_service","reviewed_demand_index","reviewed_airport_tax","review_note"
"FSZ","Mount Fuji Shizuoka Airport","Makinohara / Shimada","Japan","34.795022","138.190976","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"OKJ","Okayama Momotaro Airport","Okayama","Japan","34.756901","133.854996","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"KCZ","Kochi Ryoma Airport","Nankoku","Japan","33.545217","133.670166","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"TKS","Tokushima Awaodori Airport / JMSDF Tokushima Air Base","Tokushima","Japan","34.132559","134.607816","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"TAK","Takamatsu Airport","Takamatsu","Japan","34.214963","134.015454","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"AOJ","Aomori Airport","Aomori","Japan","40.733777","140.689477","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"KIJ","Niigata Airport","Niigata","Japan","37.954166","139.112189","large_airport","yes","80","1100.00","REVIEWED_COUNTRY_BLEND"
"MWX","Muan International Airport","Muan (Piseo-ri)","South Korea","34.991406","126.382814","large_airport","yes","77","1050.00","REVIEWED_COUNTRY_BLEND"
"YNY","Yangyang International Airport","Gonghang-ro","South Korea","38.060481","128.669822","large_airport","yes","77","1050.00","REVIEWED_COUNTRY_BLEND"
"CJJ","Cheongju International Airport/Cheongju Air Base (K-59/G-513)","Cheongju","South Korea","36.71556","127.500289","large_airport","yes","77","1050.00","REVIEWED_COUNTRY_BLEND"
"SFS","Subic Bay International Airport / Naval Air Station Cubi Point","Olongapo","Philippines","14.794833","120.271883","large_airport","yes","71","900.00","REVIEWED_COUNTRY_BLEND"
"DRP","Bicol International Airport","Legazpi","Philippines","13.111915","123.676829","large_airport","yes","71","900.00","REVIEWED_COUNTRY_BLEND"
"BCD","Bacolod-Silay International Airport","Bacolod City","Philippines","10.776237","123.018879","large_airport","yes","71","900.00","REVIEWED_COUNTRY_BLEND"
"RSI","Red Sea International Airport","Hanak","Saudi Arabia","25.627975","37.088914","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"BDQ","Vadodara International Airport","Vadodara","India","22.336201","73.226303","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"BHO","Raja Bhoj International Airport","Bhopal","India","23.2875","77.337402","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"HSR","Rajkot International Airport","Rajkot","India","22.378824","71.039391","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"IDR","Devi Ahilya Bai Holkar International Airport","Indore","India","22.721404","75.80051","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"NAG","Dr. Babasaheb Ambedkar International Airport","Nagpur","India","21.092199","79.047203","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"ISK","Nashik International Airport","Nashik","India","20.119101","73.912903","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"SAG","Shirdi International Airport","Kakadi","India","19.689211","74.373655","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"STV","Surat International Airport","Surat","India","21.115531","72.743251","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"CMB","Bandaranaike International Colombo Airport","Colombo","Sri Lanka","7.180759906768799","79.88410186767578","large_airport","yes","72","900.00","REVIEWED_GENERIC_FALLBACK"
"RML","Colombo Ratmalana International Airport","Colombo","Sri Lanka","6.821638","79.885859","large_airport","yes","72","900.00","REVIEWED_GENERIC_FALLBACK"
"JAF","Jaffna International Airport","Jaffna","Sri Lanka","9.79233","80.070099","large_airport","yes","72","900.00","REVIEWED_GENERIC_FALLBACK"
"HRI","Mattala Rajapaksa International Airport","Mattala","Sri Lanka","6.283878","81.124163","large_airport","yes","72","900.00","REVIEWED_GENERIC_FALLBACK"
"SAI","Siem Reap-Angkor International Airport","Siem Reap","Cambodia","13.36974","104.223831","large_airport","yes","53","750.00","REVIEWED_COUNTRY_BLEND"
"IXB","Bagdogra Airport","Siliguri","India","26.6812","88.328598","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"VNS","Lal Bahadur Shastri International Airport","Varanasi","India","25.452171","82.862549","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"BBI","Biju Patnaik International Airport","Bhubaneswar","India","20.251021","85.814747","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
